Brand;Name;Length (mm);Width (mm);Height (mm);Weight (g);Shape;Hump placement;Front flare;Side curvature;Hand compatibility;Thumb rest;Ring finger rest;Material;Connectivity;Sensor;Sensor technology;Sensor position;DPI;Polling rate;Tracking speed (IPS);Acceleration (G);Side buttons;Middle buttons
Lenovo;Legion M600s;117.6;59.1;38.4;69.0;Symmetrical;Flat;Back - minimal;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3370;Optical;Front - minimal (53%);19000;1000;400;50;2;0
Lenovo;Legion M300s;117.6;59.1;38.4;57.0;Symmetrical;Flat;Back - minimal;Flat;Right;No;No;Plastic;Wired;PixArt PAW3327;Optical;Centered (49%);8000;1000;220;30;2;0
AJAZZ;AM3 Max;112.9;57.9;36.3;49.0;Symmetrical;Center;Flat;Outward - slight;Right;No;No;Magnesium (metal);Wireless;PixArt PAW3950;Optical;Front - moderate (57%);30000;8000;750;50;2;0
AJAZZ;AM3 Pro;112.9;57.9;36.3;49.0;Symmetrical;Center;Flat;Outward - slight;Right;No;No;Magnesium (metal);Wireless;PixArt PAW3950;Optical;Front - moderate (57%);30000;8000;750;50;2;0
PMM;VORTEX 4K M;120.8;62.4;37.3;32.0;Symmetrical;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;4000;650;50;2;0
Finalmouse;ULX Competition Small;115.6;60.0;35.2;33.0;Symmetrical;Center;Outward - moderate;Inward;Right;No;No;Carbon fiber composite;Wireless;PixArt PAW3395;Optical;Centered (50%);6400;8000;650;50;2;0
Finalmouse;ULX Competition Medium;121.3;62.0;37.0;36.0;Symmetrical;Center;Outward - moderate;Inward;Right;No;No;Carbon fiber composite;Wireless;PixArt PAW3395;Optical;Centered (50%);6400;8000;650;50;2;0
Finalmouse;ULX Competition Classic;126.0;65.0;38.4;38.0;Symmetrical;Center;Outward - moderate;Inward;Right;No;No;Carbon fiber composite;Wireless;PixArt PAW3395;Optical;Centered (50%);6400;8000;650;50;2;0
Glorious;Model O 2 Mini Wireless;120.0;62.0;36.0;57.0;Symmetrical;Center;Flat;Inward;Right;No;No;Plastic;Wireless;Glorious BAMF 2.0;Optical;Front - minimal (55%);26000;1000;650;50;2;1
Glorious;Model O 2 Mini;120.0;62.0;36.0;49.0;Symmetrical;Center;Flat;Inward;Right;No;No;Plastic;Wired;Glorious BAMF 2.0;Optical;Front - minimal (55%);26000;1000;650;50;2;1
Nixeus;Revel Fit;130.0;69.0;42.0;99.0;Ergonomic;Center;Yes;Outward - slight;Right;No;Inward;Plastic;Wired;PixArt PMW3360;Optical;Front - minimal (55%);12000;1000;250;50;2;1
Nixeus;Revel-X;122.0;65.0;37.0;85.0;Symmetrical;No;Back - minimal;Outward - slight;Right;No;Inward;Plastic;Wired;PixArt PAW3370;Optical;Back - minimal (44%);19000;1000;400;50;2;2
Waizowl;OGM One;121.0;66.0;40.0;75.0;Hybrid;Center;Flat;Flat;Right;No;No;Plastic;Wireless;PixArt PMW3325;Optical;Centered (52%);5000;1000;100;20;2;1
VAXEE;E1 Wireless 4K;120.0;65.0;42.0;61.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);3200;4000;750;50;2;0
Razer;Basilisk V3 Pro 35K;130.0;75.0;42.0;112.0;Ergonomic;Flat;Back - minimal;Flat;Right;Yes;No;Plastic;Wireless;Razer Focus Pro Gen-2;Optical;Back - minimal (46%);35000;1000;750;70;3;2
Razer;Basilisk V3 35K;130.0;75.0;42.0;101.0;Ergonomic;Flat;Back - minimal;Flat;Right;Yes;No;Plastic;Wired;Razer Focus Pro Gen-2;Optical;Back - minimal (46%);35000;1000;750;70;3;2
AIM1;Shigure;122.0;61.0;40.0;45.0;Symmetrical;Flat;Back - moderate;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (53%);26000;8000;650;50;2;0
Darmoshark;M5 Pro;91.8;57.1;35.8;38.0;Symmetrical;Back - aggressive;Flat;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Centered (48%);30000;8000;750;50;2;0
CC;Beanmouse LHD Small;75.1;79.6;19.8;27.0;Symmetrical;Center;Flat;Inward - slight;Left;No;No;Plastic;Wireless;Razer Focus Pro 30K;Optical;-;30000;8000;750;70;0;0
CC;Beanmouse Small;75.1;79.6;19.8;27.0;Symmetrical;Center;Flat;Inward - slight;Right;No;No;Plastic;Wireless;Razer Focus Pro 30K;Optical;-;30000;8000;750;70;0;0
CC;Beanmouse LHD Large;83.4;88.4;22.0;29.0;Symmetrical;Center;Flat;Inward - slight;Left;No;No;Plastic;Wireless;Razer Focus Pro 30K;Optical;-;30000;8000;750;70;0;0
RAWM;ES21 Pro;122.2;64.5;39.1;45.0;Symmetrical;No;Back - minimal;Outward - slight;Right;No;Inward;Plastic;Wireless;PixArt PAW3950;Optical;Front - moderate (58%);30000;8000;750;50;2;0
RAWM;ES21 M;122.2;64.5;39.1;45.0;Symmetrical;No;Back - minimal;Outward - slight;Right;No;Inward;Plastic;Wireless;PixArt PAW3950;Optical;Front - moderate (58%);30000;8000;750;50;2;0
RAWM;ES21;122.2;64.5;39.1;50.0;Symmetrical;No;Back - minimal;Outward - slight;Right;No;Inward;Plastic;Wireless;PixArt PAW3395;Optical;Front - moderate (58%);26000;8000;650;50;2;0
Attack Shark;R6;118.0;60.0;38.0;39.0;Symmetrical;Flat;Back - moderate;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);42000;8000;750;50;2;0
Pulsar;Xlite Wired;122.0;66.0;43.0;52.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wired;PixArt PAW3395;Optical;Front - moderate (56%);26000;1000;650;50;2;0
Glorious;Series 2 Pro;118.5;62.0;38.0;55.0;Symmetrical;No;Back - minimal;Inward;Right;Outward - moderate;No;Plastic;Wireless;Glorious BAMF 2.0;Optical;Front - minimal (54%);26000;8000;650;50;2;1
Xtrfy;M42;118.0;63.0;38.0;59.0;Symmetrical;Flat;Back - moderate;Outward - slight;Right;No;No;Plastic;Wired;PixArt PMW3389;Optical;Centered (51%);16000;1000;400;50;2;1
Cooler Master;CM310;127.0;71.5;39.5;100.0;Symmetrical;Center;No;Inward;Right;No;Outward - aggressive;Plastic;Wired;Avago A3325;Optical;Front - minimal (54%);10000;1000;60;20;2;3
Cooler Master;MM731;122.3;69.0;39.1;59.0;Ergonomic;Center;Outward - moderate;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3370;Optical;Front - aggressive (66%);19000;1000;400;50;2;0
Cooler Master;MM730;122.3;69.0;39.1;48.0;Ergonomic;Center;Outward - moderate;Flat;Right;No;No;Plastic;Wired;PixArt PMW3389;Optical;Front - aggressive (66%);16000;1000;400;50;2;0
Cooler Master;MM711 Lite;116.6;62.6;38.3;59.0;Symmetrical;Flat;Back - moderate;Flat;Right;No;No;Plastic;Wired;PixArt PMW3325;Optical;Back - minimal (45%);10000;1000;100;20;2;1
Cooler Master;MM831;128.1;67.4;43.4;123.0;Ergonomic;Center;Flat;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3335;Optical;Back - minimal (46%);32000;1000;400;40;2;1
Cooler Master;MM530;124.8;60.4;40.2;99.0;Ergonomic;Flat;Back - minimal;No;Right;No;Outward - aggressive;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (59%);12000;1000;250;50;2;2
Cooler Master;MM531;124.8;60.4;40.2;92.0;Ergonomic;Flat;Back - minimal;No;Right;No;Outward - aggressive;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (59%);12000;1000;250;50;2;2
Cooler Master;MM830;130.1;82.2;43.4;162.0;Ergonomic;Center;Flat;Flat;Right;Yes;No;Plastic;Wired;PixArt PMW3360;Optical;Centered (49%);24000;1000;250;50;4;1
Cooler Master;CM110;116.6;62.6;38.3;92.0;Symmetrical;Flat;Back - moderate;Flat;Right;No;No;Plastic;Wired;Avago A3050;Optical;Centered (49%);6000;1000;60;20;2;1
Razer;Viper Ultimate;126.7;66.0;37.8;74.0;Symmetrical;Center;Outward - moderate;Inward;Ambidextrous;No;No;Plastic;Wireless;Razer Focus+;Optical;Centered (51%);20000;1000;650;50;2;0
Cooler Master;MM711;116.6;62.6;38.3;60.0;Symmetrical;Flat;Back - moderate;Flat;Right;No;No;Plastic;Wired;PixArt PMW3389;Optical;Back - minimal (45%);16000;1000;400;50;2;1
Cooler Master;MM710;116.6;62.6;38.3;53.0;Symmetrical;Back - moderate;Flat;Flat;Right;No;No;Plastic;Wired;PixArt PMW3389;Optical;Back - minimal (45%);16000;1000;400;50;2;1
Pulsar;Xlite V2 Mini Wireless;117.0;64.0;40.0;55.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3370;Optical;Front - moderate (58%);20000;1000;400;50;2;0
Pulsar;Xlite Wireless;122.7;66.2;42.0;59.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3370;Optical;Front - moderate (58%);20000;1000;400;50;2;0
Pulsar;Xlite;122.7;66.2;42.0;49.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wired;PixArt PAW3370;Optical;Front - moderate (58%);20000;1000;400;50;2;0
Zowie;S1-B V2;123.0;66.0;40.0;87.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - minimal (53%);3200;1000;250;50;2;0
Zowie;S1-B;123.0;66.0;40.0;87.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - minimal (53%);3200;1000;250;50;2;0
Zowie;S1-C;123.0;66.0;40.0;72.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - minimal (53%);3200;1000;250;50;2;0
Zowie;S2-B V2;120.0;64.2;38.1;82.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - minimal (54%);3200;1000;250;50;2;0
Delux;M700 Pro;128.2;67.0;38.7;57.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - moderate (57%);26000;8000;650;50;2;1
Delux;M700 Pro+;128.2;67.0;38.7;56.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - moderate (57%);26000;8000;650;50;2;1
Delux;M700 Ultra;128.2;67.0;38.7;59.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - moderate (57%);30000;8000;750;50;2;1
Waizowl;OGM Cloud V2;126.0;68.0;38.0;55.0;Symmetrical;Back - minimal;Flat;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (55%);30000;8000;750;50;2;0
PMM;ZEN 8K;127.1;63.9;40.1;30.0;Symmetrical;Back - minimal;Outward - slight;Inward;Right;No;No;Plastic;Wireless;Razer Focus Pro Gen-2;Optical;-;35000;8000;750;70;2;0
ASUS;ROG Harpe Ace Mini;117.0;63.0;37.0;49.0;Symmetrical;Back - moderate;Outward - slight;Flat;Right;No;No;Plastic;Wireless;ASUS ROG AimPoint Pro;Optical;Centered (52%);42000;8000;750;50;2;0
Zowie;S2-B;120.0;64.2;38.1;82.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - minimal (54%);3200;1000;250;50;2;0
Pulsar;Xlite V2 Wireless;122.7;66.2;42.0;59.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3370;Optical;Front - moderate (58%);20000;1000;400;50;2;0
ASUS;ROG Harpe Ace Extreme;127.5;63.7;39.6;47.0;Symmetrical;Back - moderate;Outward - slight;Flat;Right;No;No;Carbon fiber;Wireless;ASUS ROG AimPoint Pro;Optical;Centered (50%);42000;8000;750;50;2;0
Logitech;G Pro X Superlight 2 DEX;125.8;67.7;43.9;60.0;Ergonomic;Outward - slight;Center;Flat;Right;No;No;Plastic;Wireless;Logitech HERO 2;Optical;Front - minimal (55%);44000;8000;888;88;2;0
Logitech;G Pro 2 Lightspeed;125.0;63.5;40.0;80.0;Symmetrical;Outward - slight;Center;Flat;Ambidextrous;No;No;Plastic;Wireless;Logitech HERO 2;Optical;Front - minimal (53%);44000;8000;888;88;2;0
MCHOSE;A7 Pro;125.8;63.2;39.8;59.0;Symmetrical;Outward - slight;Center;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);26000;8000;650;50;2;0
MCHOSE;A7;125.8;63.2;39.8;56.0;Symmetrical;Outward - slight;Center;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);26000;8000;650;50;2;0
Pwnage;StormBreaker Max CF;128.0;68.0;44.0;43.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Carbon fiber composite;Wireless;PixArt PAW3950;Optical;Adjustable (50-63%);30000;8000;750;50;2;0
LAMZU;MAYA X;124.4;64.9;39.6;47.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;0
Zowie;ZA13-B;121.7;62.8;40.2;75.0;Symmetrical;Outward - slight;No;Inward;Right;Back - aggressive;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
Higround;Yuma;125.9;63.9;40.0;50.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (53%);26000;4000;650;50;2;0
VAXEE;XE-S L Wireless 4K;118.0;64.0;36.0;60.0;Symmetrical;Outward - slight;Center;Inward;Left;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - moderate (56%);3200;4000;750;50;2;1
MCHOSE;M7 Pro;123.4;65.4;39.2;55.0;Symmetrical;Back - minimal;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (53%);26000;8000;650;50;2;0
MCHOSE;M7;123.4;65.4;39.2;53.0;Symmetrical;Back - minimal;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (53%);26000;8000;650;50;2;0
Pulsar;X2H Wired;120.4;65.0;39.1;51.0;Symmetrical;Outward - slight;Back - aggressive;Inward;Right;No;No;Plastic;Wired;PixArt PAW3395;Optical;Front - minimal (55%);26000;1000;650;50;2;0
SteelSeries;Rival 300S;133.0;70.0;45.0;98.0;Ergonomic;Back - minimal;Flat;Outward - moderate;Right;No;No;Plastic;Wired;SteelSeries TrueMove 1;Optical;Centered (51%);7200;1000;240;30;2;1
SteelSeries;Rival 500;118.6;78.3;43.3;129.0;Ergonomic;Back - minimal;Flat;Flat;Right;No;Yes;Plastic;Wired;PixArt PMW3360;Optical;Back - moderate (41%);16000;1000;250;50;6;1
Redragon;M996;120.8;64.3;37.9;42.0;Symmetrical;Back - minimal;Flat;Flat;Right;No;No;Plastic;Wired;PixArt PAW3327;Optical;Centered (52%);26000;8000;220;30;2;0
LAMZU x Fnatic;MAYA X 8K;124.4;64.9;39.6;45.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;0
LAMZU x Fnatic;MAYA 8K;119.0;62.0;38.0;45.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;0
Zowie;ZA12-B;125.0;65.0;41.0;78.0;Symmetrical;Outward - slight;Back - aggressive;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
Redragon;M724;120.8;64.3;37.9;42.0;Symmetrical;Back - minimal;Flat;Flat;Right;No;No;Plastic;Wired;PixArt PAW3327;Optical;Centered (52%);12400;1000;220;30;2;0
Corsair;M55 Wireless;118.0;62.0;38.0;85.0;Symmetrical;No;Center;Flat;Right;Inward - moderate;No;Plastic;Wireless;-;-;Front - minimal (54%);24000;1000;-;-;2;1
Corsair;M55 Wired;118.0;62.0;38.0;55.0;Symmetrical;Inward - moderate;Center;Flat;Right;No;No;Plastic;Wireless;-;-;Front - minimal (54%);16000;1000;-;-;2;1
CC;Beanmouse Large;83.4;88.4;22.0;29.0;Symmetrical;No;Center;Inward - slight;Right;No;Flat;Plastic;Wireless;Razer Focus Pro 30K;Optical;-;30000;8000;750;70;0;0
Scyrox;V8;118.0;63.0;38.0;36.0;Symmetrical;Back - aggressive;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;0
ATK;Z1 Ultra;122.5;66.8;42.4;57.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950 Ultra;Optical;Centered (51%);42000;8000;750;50;2;0
ATK;Z1 Pro Max;122.5;66.8;42.4;57.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Centered (51%);36000;8000;750;50;2;0
COMMATECH;FKMINI4;104.0;60.0;36.0;55.0;Symmetrical;Back - moderate;Inward - moderate;Inward;Ambidextrous;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Centered (47%);26000;8000;650;50;0;0
Zowie;ZA12-C;125.0;65.0;41.0;70.0;Symmetrical;Back - aggressive;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
Keychron;Lemokey G2;118.0;62.6;38.2;52.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;1
Attack Shark;X3 Max;118.5;61.0;39.7;49.0;Symmetrical;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (53%);42000;1000;750;50;2;0
Pulsar;X3;124.6;69.3;43.1;55.0;Ergonomic;Back - moderate;Flat;Outward - moderate;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Centered (51%);32000;8000;750;50;2;0
Pulsar;X3 Mini;119.8;66.6;41.4;50.0;Ergonomic;Back - moderate;Flat;Outward - moderate;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Centered (51%);32000;8000;750;50;2;0
Pulsar;X3 LHD;124.6;69.3;43.1;55.0;Ergonomic;Back - moderate;Flat;Outward - moderate;Left;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Centered (51%);32000;8000;750;50;2;0
Pulsar;X3 LHD Mini;119.8;66.6;41.4;50.0;Ergonomic;Back - moderate;Flat;Outward - moderate;Left;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Centered (51%);32000;8000;750;50;2;0
G-Wolves;HTX Mini 8K;109.0;60.0;35.0;27.0;Symmetrical;Back - minimal;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - aggressive (62%);26000;8000;650;50;2;0
Kysona;M617;123.8;63.1;39.0;57.0;Symmetrical;Back - moderate;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (55%);26000;8000;650;50;2;1
Zowie;ZA11-B;129.0;67.0;42.0;82.0;Symmetrical;Back - aggressive;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
Turtle Beach;Kone II Air;130.2;82.6;44.1;110.0;Ergonomic;Yes;Center;Flat;Right;No;Flat;Plastic;Wireless;ROCCAT Owl-Eye 26K;Optical;Front - minimal (53%);26000;1000;650;50;3;2
Turtle Beach;Kone II;130.2;82.6;44.1;90.0;Ergonomic;Yes;Center;Flat;Right;No;Flat;Plastic;Wired;ROCCAT Owl-Eye 26K;Optical;Front - minimal (53%);26000;1000;650;50;3;2
HaunterWell;HMF;85.0;56.0;32.0;24.0;Symmetrical;Back - aggressive;Outward - slight;Flat;Ambidextrous;No;No;Plastic;Wired;PixArt PAW3399;Optical;-;20000;8000;650;50;0;0
HaunterWell;HFC;88.0;58.0;34.0;31.0;Symmetrical;Back - aggressive;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;8000;650;50;2;0
HaunterWell;HZ1;112.0;62.0;33.0;34.0;Symmetrical;Back - moderate;Flat;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;8000;650;50;2;0
Corsair;Dark Core RGB Pro;127.0;81.0;43.0;137.0;Ergonomic;Yes;Center;Inward - slight;Right;No;Flat;Plastic;Wireless;PixArt PAW3392;Optical;Front - moderate (59%);18000;2000;400;40;2;1
SteelSeries;Sensei 310;125.1;70.4;39.0;92.0;Symmetrical;Back - minimal;Flat;Inward;Ambidextrous;No;No;Plastic;Wired;SteelSeries TrueMove 3;Optical;Centered (48%);12000;1000;350;50;2;1
VXE;MAD R Major;120.1;63.1;38.1;36.0;Symmetrical;Back - moderate;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;0
VXE;MAD R;120.1;63.1;38.1;36.0;Symmetrical;Back - moderate;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);26000;8000;650;50;2;0
Zowie;ZA11-C;129.0;67.0;42.0;72.0;Symmetrical;Back - aggressive;Outward - slight;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
Attack Shark;R2;117.6;61.8;38.9;45.0;Symmetrical;Back - minimal;Outward - slight;Inward;Right;No;No;Magnesium (metal);Wireless;PixArt PAW3950;Optical;Front - minimal (54%);42000;8000;750;50;2;0
xtro;Eris;120.0;66.0;42.0;69.0;Ergonomic;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (55%);26000;1000;650;50;2;1
RAWM;SA-SH01 Pro;117.7;61.2;38.1;55.0;Symmetrical;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3950;Optical;Front - moderate (58%);30000;8000;750;50;2;1
RAWM;SA-SH01;117.7;61.2;38.1;60.0;Symmetrical;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3395;Optical;Front - moderate (58%);26000;1000;650;50;2;1
LAMZU;Paro;120.0;65.0;40.0;48.0;Ergonomic;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);26000;8000;650;50;2;0
Delux;M500 Pro;118.0;65.0;41.0;59.0;Ergonomic;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);26000;8000;650;50;2;0
AJAZZ;AJ179 APEX;117.8;65.6;41.3;58.0;Ergonomic;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3950 APEX;Optical;-;42000;8000;750;50;2;0
AJAZZ;AJ179 PRO;117.8;65.6;41.3;58.0;Ergonomic;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;8000;650;50;2;0
AJAZZ;AJ179P;117.8;65.6;41.3;58.0;Ergonomic;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;1000;650;50;2;0
AJAZZ;AJ179;117.8;65.6;41.3;58.0;Ergonomic;Back - minimal;No;Outward - moderate;Right;No;Inward;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;1000;650;50;2;0
Zowie;FK2-B V2;125.1;64.9;36.4;80.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
PMM;CYBER 4.0;72.3;59.7;27.2;20.0;Symmetrical;Back - moderate;Flat;Inward - slight;Ambidextrous;No;No;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;8000;650;50;0;0
Noir;M1;120.7;59.6;38.9;70.0;Symmetrical;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3370;Optical;-;19000;1000;400;50;2;1
Noir;M1 Lite;120.7;59.6;38.9;70.0;Symmetrical;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PMW3325;Optical;-;10000;1000;100;20;2;1
RAKK;Kaptan Wired;119.5;66.0;43.8;79.0;Ergonomic;Outward - slight;Center;Flat;Right;No;No;Plastic;Wired;PixArt PMW3389;Optical;Front - moderate (57%);16000;1000;400;50;2;0
Noir;M2 MG;121.0;61.5;37.2;56.0;Symmetrical;Outward - slight;Center;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (55%);26000;8000;650;50;2;0
Noir;M2 Pro;121.0;61.5;37.2;59.0;Symmetrical;Outward - slight;Center;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (55%);26000;4000;650;50;2;0
Noir;M2;121.0;61.5;37.2;59.0;Symmetrical;Outward - slight;Center;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (55%);26000;1000;650;50;2;0
Logitech;G309;120.0;64.0;39.0;86.0;Symmetrical;Back - minimal;Inward - moderate;Flat;Right;No;No;Plastic;Wireless;Logitech HERO 25K;Optical;Centered (52%);25600;1000;400;40;2;1
LAMZU;Atlantis Mini Champion;116.9;63.1;37.0;51.0;Symmetrical;Back - moderate;Outward - slight;Inward - aggressive;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (55%);30000;8000;750;50;2;0
G-Wolves;HTS Plus 8K;117.0;61.0;40.0;46.0;Symmetrical;Back - minimal;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - moderate (58%);26000;8000;650;50;2;1
Zowie;FK2-B;125.1;64.9;36.4;80.0;Symmetrical;Outward - slight;Center;Inward;Right;No;No;Plastic;Wired;PixArt PMW3360;Optical;Front - moderate (56%);3200;1000;250;50;2;0
Vancer x Arbiter Studio;AKITSU;118.0;59.7;36.5;38.0;Symmetrical;Outward - slight;Center;Flat;Right;No;No;Carbon fiber composite;Wireless;PixArt PAW3395;Optical;Centered (50%);26000;8000;650;50;2;0
Darmoshark;M3 Pro Max;129.6;66.1;39.2;52.0;Symmetrical;Outward - moderate;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Centered (50%);30000;8000;750;50;2;0
GANSS;FLX3 4K;118.0;65.7;41.3;55.0;Ergonomic;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;4000;650;50;2;1
GANSS;FLX3;118.0;65.7;41.3;55.0;Ergonomic;Outward - slight;Center;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;-;26000;1000;650;50;2;1
Razer;Pro Click;126.7;79.7;45.7;106.0;Ergonomic;Back - minimal;No;Inward - slight;Right;Yes;Inward;Plastic;Wireless;Razer Razer 5G;Optical;Back - minimal (45%);16000;1000;450;50;2;1
IFYOO;G63;119.5;62.0;40.0;58.0;Symmetrical;No;Center;Flat;Right;No;Flat;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);26000;4000;650;50;2;0
